name,career_name,entry_levels,final,path,
Mathematics And Computer Science,Director Of Information,['Applications Programmer'],False,"[""Applications Programmer"", ""Programmer Analyst"", ""Director Of Information"", ""Director Of Infrastructure Operations""]"
Mathematics And Computer Science,Director Of Infrastructure Operations,['Applications Programmer'],True,"[""Applications Programmer"", ""Programmer Analyst"", ""Director Of Information"", ""Director Of Infrastructure Operations""]"
Mathematics And Computer Science,Developer Analyst,['Developer Analyst'],False,"[""Developer Analyst"", ""Systems Analyst"", ""Information Systems Manager"", ""Director Of Information Services""]"
Mathematics And Computer Science,Systems Analyst,"['Developer Analyst', 'Applications Programmer']",False,"[""Developer Analyst"", ""Systems Analyst"", ""Information Systems Manager"", ""Director Of Information Services""]"
Mathematics And Computer Science,Information Systems Manager,"['Developer Analyst', 'Applications Programmer']",False,"[""Developer Analyst"", ""Systems Analyst"", ""Information Systems Manager"", ""Director Of Information Services""]"
Mathematics And Computer Science,Director Of Information Services,"['Developer Analyst', 'Applications Programmer']",True,"[""Developer Analyst"", ""Systems Analyst"", ""Information Systems Manager"", ""Director Of Information Services""]"
Mathematics And Computer Science,Developer Analyst,['Developer Analyst'],False,"[""Developer Analyst"", ""Project Manager"", ""Project Manager/Scrum Master"", ""Agile Project Manager""]"
Mathematics And Computer Science,Project Manager,['Developer Analyst'],False,"[""Developer Analyst"", ""Project Manager"", ""Project Manager/Scrum Master"", ""Agile Project Manager""]"
Mathematics And Computer Science,Project Manager/Scrum Master,['Developer Analyst'],False,"[""Developer Analyst"", ""Project Manager"", ""Project Manager/Scrum Master"", ""Agile Project Manager""]"
Mathematics And Computer Science,Agile Project Manager,['Developer Analyst'],True,"[""Developer Analyst"", ""Project Manager"", ""Project Manager/Scrum Master"", ""Agile Project Manager""]"
Mathematics And Computer Science,Applications Programmer,['Applications Programmer'],False,"[""Applications Programmer"", ""Systems Analyst"", ""Information Technology Analyst"", ""Technical Systems Engineer""]"
